Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity_0,arm_extensile_velocity_1,arm_extensile_velocity_2,arm_length_0,arm_length_1,arm_length_2
10.6,0.703989,0.17227,0,-0.678625,0.395454,0,-0.00790087,-0.600007,0,0.317736,0.303205,-1.20423,0.256,1,-1,1.05008,1.40051,1.20134
10.7,0.729293,0.181196,0,-0.660881,0.351123,0,-0.0480266,-0.562746,0,0.275601,0.277387,-1.1945,0.256,1,-1,1.0757,1.40052,1.10134
10.8,0.752642,0.188747,0,-0.642887,0.307012,0,-0.0868188,-0.524533,0,0.237645,0.257627,-1.19351,-1,-1,-1,1.10132,1.40053,1.00134
10.9,0.682319,0.167653,0,-0.609849,0.314947,0,-0.0515906,-0.513923,0,-0.847312,-0.910711,0.323574,-1,-1,-1,1.00258,1.30154,0.999339
11,0.633497,0.183947,0,-0.559228,0.320674,0,-0.0540818,-0.541617,0,0.308058,-1.24176,0.307873,-1,-1,-1,0.999603,1.20154,0.999359
11.1,0.584958,0.199508,0,-0.508418,0.324841,0,-0.0569735,-0.566761,0,0.256861,-1.21541,0.256635,-1,-1,-1,0.999622,1.10154,0.999378
11.2,0.53627,0.213762,0,-0.457758,0.327699,0,-0.0595241,-0.588926,0,0.21511,-1.20196,0.214833,1,-1,-1,0.999639,1.00154,0.999395
11.3,0.558655,0.259179,0,-0.439368,0.31447,0,-0.0962257,-0.624188,0,1.21486,-0.255495,-0.255364,1,-1,-1,1.09864,0.999554,0.999413
11.4,0.580475,0.305242,0,-0.419081,0.299437,0,-0.133958,-0.658461,0,1.24078,-0.306355,-0.306248,1,-1,-1,1.19864,0.999572,0.999432
11.5,0.601068,0.352213,0,-0.396084,0.282395,0,-0.172916,-0.691824,0,1.28271,-0.370664,-0.370576,1,-1,-1,1.29864,0.999593,0.999452
11.6,0.620202,0.400266,0,-0.369948,0.263025,0,-0.213335,-0.724104,0,1.34685,-0.455248,-0.455176,1,1,-1,1.39864,0.999616,0.999475
11.7,0.663785,0.39137,0,-0.428197,0.262003,0,-0.200107,-0.711126,0,-0.423111,1.23097,0.0805107,1,1,-1,1.40064,1.09862,0.999502
11.8,0.707422,0.382299,0,-0.48581,0.258663,0,-0.187374,-0.695273,0,-0.405925,1.21458,0.00747124,1,1,-1,1.40065,1.19862,0.999529
11.9,0.751357,0.37333,0,-0.542672,0.252907,0,-0.175526,-0.676778,0,-0.402788,1.21162,-0.0603426,1,1,-1,1.40066,1.29862,0.999555
12,0.795621,0.364261,0,-0.59889,0.244781,0,-0.164553,-0.655506,0,-0.412443,1.2207,-0.126969,-1,1,-1,1.40066,1.39862,0.999582
12.1,0.775676,0.323838,0,-0.62297,0.249355,0,-0.123128,-0.616311,0,-1.21171,0.402858,0.0624103,-1,1,-1,1.30166,1.40063,0.99961
12.2,0.755408,0.28383,0,-0.644855,0.25161,0,-0.083267,-0.575368,0,-1.21426,0.40556,-0.0052871,-1,1,-1,1.20167,1.40063,0.999636
12.3,0.735403,0.243995,0,-0.665217,0.25153,0,-0.0448346,-0.53234,0,-1.23018,0.422232,-0.0780515,-1,1,-1,1.10167,1.40064,0.999663
12.4,0.715787,0.204154,0,-0.684135,0.249152,0,-0.00781263,-0.487034,0,-1.26295,0.456102,-0.16115,-1,-1,-1,1.00167,1.40064,0.99969
12.5,0.66605,0.21865,0,-0.633913,0.260773,0,-0.00850499,-0.519157,0,0.372642,-1.28413,0.372655,-1,-1,-1,0.999691,1.30165,0.999713
12.6,0.616447,0.231721,0,-0.583569,0.270606,0,-0.00943332,-0.547829,0,0.307851,-1.24166,0.307868,-1,-1,-1,0.999712,1.20165,0.999734
12.7,0.566794,0.243262,0,-0.533274,0.278908,0,-0.010252,-0.57312,0,0.256665,-1.21535,0.256685,-1,-1,-1,0.999731,1.10165,0.999752
12.8,0.517099,0.253488,0,-0.483022,0.285897,0,-0.0109736,-0.595415,0,0.214908,-1.20191,0.214933,1,-1,1,0.999748,1.00165,0.99977
12.9,0.517781,0.290023,0,-0.481339,0.322399,0,-0.0134831,-0.672908,0,0.920563,-0.365415,0.920567,1,-1,1,1.09876,0.999645,1.09878
13,0.518941,0.325845,0,-0.480179,0.358221,0,-0.0159184,-0.74811,0,0.872371,-0.31949,0.872376,1,-1,1,1.19877,0.999645,1.19879
13.1,0.520088,0.361255,0,-0.479033,0.39363,0,-0.0183039,-0.821777,0,0.836446,-0.284634,0.836451,1,-1,1,1.29878,0.999645,1.2988
13.2,0.521225,0.39638,0,-0.477895,0.428755,0,-0.0206513,-0.894268,0,0.808711,-0.257168,0.808716,-1,-1,1,1.39879,0.999645,1.39881
13.3,0.50219,0.342617,0,-0.491816,0.448902,0,0.00819381,-0.859637,0,-1.21167,0.0616895,0.402854,-1,-1,1,1.30079,0.999673,1.40082
13.4,0.480922,0.289574,0,-0.502728,0.467985,0,0.0365318,-0.82488,0,-1.21436,-0.00604002,0.405698,-1,-1,1,1.20079,0.999699,1.40082
13.5,0.457168,0.23699,0,-0.510889,0.486624,0,0.0648198,-0.790433,0,-1.23042,-0.0788837,0.422534,-1,-1,1,1.10079,0.999726,1.40083
13.6,0.430756,0.184768,0,-0.516364,0.504878,0,0.0932731,-0.756341,0,-1.2634,-0.162128,0.456616,-1,1,1,1.00079,0.999753,1.40083
13.7,0.4881,0.173052,0,-0.560755,0.503752,0,0.0823571,-0.740736,0,0.080402,1.23088,-0.422979,-1,1,1,0.999818,1.09876,1.40084
13.8,0.544076,0.159027,0,-0.605321,0.502978,0,0.072809,-0.722787,0,0.00740572,1.2145,-0.405817,-1,1,1,0.999844,1.19876,1.40084
13.9,0.598865,0.14277,0,-0.650161,0.502359,0,0.064622,-0.702409,0,-0.0603718,1.21156,-0.402691,-1,1,1,0.999871,1.29876,1.40085
14,0.65258,0.124305,0,-0.695342,0.501702,0,0.0578122,-0.679466,0,-0.126964,1.22064,-0.412345,1,1,-1,0.999898,1.39876,1.40086
14.1,0.701255,0.168271,0,-0.670952,0.449815,0,-0.0100797,-0.670675,0,1.24425,0.137122,-1.28156,1,1,-1,1.09892,1.40079,1.30186
14.2,0.745434,0.211755,0,-0.643045,0.397335,0,-0.0771594,-0.661851,0,1.2465,0.00195464,-1.24704,1,1,-1,1.19894,1.40083,1.20188
14.3,0.786179,0.255089,0,-0.611868,0.343822,0,-0.144202,-0.652798,0,1.28006,-0.133012,-1.24381,1,1,-1,1.29895,1.40086,1.10189
14.4,0.823806,0.298637,0,-0.577053,0.288634,0,-0.211884,-0.643289,0,1.34761,-0.281159,-1.27689,-1,1,-1,1.39896,1.40089,1.00191
14.5,0.800482,0.260056,0,-0.599994,0.294599,0,-0.16792,-0.607173,0,-1.21161,0.402749,0.0618135,-1,1,-1,1.30096,1.4009,0.999941
14.6,0.777179,0.221737,0,-0.621623,0.298521,0,-0.125023,-0.569421,0,-1.21428,0.405564,-0.00587733,-1,1,-1,1.20096,1.40091,0.999967
14.7,0.754152,0.183569,0,-0.641915,0.299999,0,-0.0833873,-0.529479,0,-1.23031,0.422355,-0.0786699,-1,1,-1,1.10096,1.40091,0.999994
14.8,0.731682,0.145341,0,-0.660827,0.298617,0,-0.0432475,-0.486647,0,-1.26381,0.457326,-0.162748,-1,-1,-1,1.00096,1.40092,0.999021
14.9,0.683453,0.164027,0,-0.609657,0.306353,0,-0.0468477,-0.519077,0,0.373325,-1.28442,0.372741,-1,-1,-1,0.999984,1.30192,0.999044
15,0.634793,0.180498,0,-0.558869,0.312316,0,-0.0496298,-0.547221,0,0.308474,-1.24213,0.308519,-1,-1,-1,0.999005,1.20192,0.999065
15.1,0.586185,0.195867,0,-0.508081,0.31671,0,-0.0524089,-0.572408,0,0.257125,-1.21565,0.25718,-1,-1,-1,0.999024,1.10192,0.999083
15.2,0.537433,0.209925,0,-0.457438,0.319793,0,-0.0548583,-0.594609,0,0.215254,-1.2021,0.215321,1,-1,-1,0.999041,1.00192,0.999101
15.3,0.559627,0.25542,0,-0.438995,0.306671,0,-0.0914136,-0.630039,0,1.21473,-0.255515,-0.254753,1,-1,-1,1.09804,0.999936,0.999118
15.4,0.581257,0.301557,0,-0.41865,0.291751,0,-0.129004,-0.664482,0,1.24056,-0.306244,-0.30562,1,-1,-1,1.19804,0.999955,0.999137
15.5,0.601661,0.348596,0,-0.39559,0.274832,0,-0.167824,-0.698019,0,1.28237,-0.370397,-0.369885,1,-1,-1,1.29804,0.999975,0.999158
